"","lipid_class","carbons_1","carbons_2","carbons_sum","unsat_1","unsat_2","unsat_sum"
"TG 56:6-FA20:4","TG",56,20,56,6,4,6
"TG 56:6-FA22:4","TG",56,22,56,6,4,6
"TG 56:6-FA22:5","TG",56,22,56,6,5,6
"TG 56:6-FA22:6","TG",56,22,56,6,6,6
"TG 56:7-FA16:0","TG",56,16,56,7,0,7
"TG 56:7-FA16:1","TG",56,16,56,7,1,7
"TG 56:7-FA18:0","TG",56,18,56,7,0,7
"TG 56:7-FA18:1","TG",56,18,56,7,1,7
"TG 56:7-FA18:2","TG",56,18,56,7,2,7
"TG 56:7-FA20:4","TG",56,20,56,7,4,7
"TG 56:7-FA22:5","TG",56,22,56,7,5,7
"TG 56:7-FA22:6","TG",56,22,56,7,6,7
"TG 56:8-FA16:0","TG",56,16,56,8,0,8
"TG 56:8-FA16:1","TG",56,16,56,8,1,8
"TG 56:8-FA18:1","TG",56,18,56,8,1,8
"TG 56:8-FA22:6","TG",56,22,56,8,6,8
"TG 57:2-FA18:1","TG",57,18,57,2,1,2
"TG 58:2-FA18:1","TG",58,18,58,2,1,2
"TG 58:3-FA18:1","TG",58,18,58,3,1,3
"TG 58:5-FA18:1","TG",58,18,58,5,1,5
"TG 58:6-FA16:0","TG",58,16,58,6,0,6
"TG 58:6-FA18:0","TG",58,18,58,6,0,6
"TG 58:6-FA18:1","TG",58,18,58,6,1,6
"TG 58:6-FA20:4","TG",58,20,58,6,4,6
"TG 58:6-FA22:4","TG",58,22,58,6,4,6
"TG 58:6-FA22:5","TG",58,22,58,6,5,6
"TG 58:7-FA16:0","TG",58,16,58,7,0,7
"TG 58:7-FA18:0","TG",58,18,58,7,0,7
"TG 58:7-FA18:1","TG",58,18,58,7,1,7
"TG 58:7-FA18:2","TG",58,18,58,7,2,7
"TG 58:7-FA20:4","TG",58,20,58,7,4,7
"TG 58:7-FA22:4","TG",58,22,58,7,4,7
"TG 58:7-FA22:5","TG",58,22,58,7,5,7
"TG 58:7-FA22:6","TG",58,22,58,7,6,7
"TG 58:8-FA18:1","TG",58,18,58,8,1,8
"TG 58:8-FA20:3","TG",58,20,58,8,3,8
"TG 58:8-FA20:4","TG",58,20,58,8,4,8
"TG 58:8-FA22:5","TG",58,22,58,8,5,8
"TG 58:8-FA22:6","TG",58,22,58,8,6,8
"TG 58:9-FA18:1","TG",58,18,58,9,1,9
"TG 58:9-FA22:5","TG",58,22,58,9,5,9
"TG 58:9-FA22:6","TG",58,22,58,9,6,9
"TG 60:10-FA22:6","TG",60,22,60,10,6,10
